#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
28676661|2021-10-21T00:47:38.490000|40.820333|14.140333|1.7|SURVEY-INGV-OV#SiSmi||||Md|1.5|--|Campi Flegrei|earthquake
28718701|2021-10-24T20:01:27.580000|40.8392|14.1467|2.1|BULLETIN-INGV||||Md|1.7|--|Campi Flegrei|earthquake
28725081|2021-10-25T15:02:00.619000|40.818833|14.135|1.6|SURVEY-INGV-OV#SiSmi||||Md|1.0|--|Campi Flegrei|earthquake
28755561|2021-10-29T13:26:47.299000|40.826333|14.1385|1.6|SURVEY-INGV-OV#SiSmi||||Md|1.1|--|Campi Flegrei|earthquake
28853361|2021-11-06T22:01:45.250000|40.838833|14.140167|1.7|SURVEY-INGV-OV#SiSmi||||Md|1.2|--|Campi Flegrei|earthquake
28853381|2021-11-06T22:01:56.059000|40.8315|14.140167|3.3|SURVEY-INGV-OV#SiSmi||||Md|1.1|--|Campi Flegrei|earthquake
28853351|2021-11-06T22:16:57.809000|40.839667|14.1385|1.6|SURVEY-INGV-OV#SiSmi||||Md|1.3|--|Campi Flegrei|earthquake
28881041|2021-11-10T20:59:47.779000|40.825333|14.136167|0.4|SURVEY-INGV-OV||||Md|0.5|--|Campi Flegrei|earthquake
28979291|2021-11-25T04:38:30.560000|40.8012|14.1122|2.0|BULLETIN-INGV||||Md|1.4|--|Campi Flegrei|earthquake
28979471|2021-11-25T05:12:47.680000|40.7993|14.1133|1.9|BULLETIN-INGV||||Md|1.6|--|Campi Flegrei|earthquake
28979851|2021-11-25T05:59:22.890000|40.797|14.112667|3.0|SURVEY-INGV-OV#SiSmi||||Md|1.0|--|Campi Flegrei|earthquake
29054571|2021-12-02T06:33:03.049000|40.831333|14.1395|2.4|SURVEY-INGV-OV#SiSmi||||Md|1.7|--|Campi Flegrei|earthquake
29074151|2021-12-03T12:10:59.390000|40.8247|14.127|1.7|BULLETIN-INGV||||Md|2.1|--|Campi Flegrei|earthquake
29312541|2021-12-25T11:15:30.650000|40.8377|14.1363|1.5|BULLETIN-INGV||||Md|1.4|--|Campi Flegrei|earthquake
29323111|2021-12-26T03:52:20.270000|40.8132|14.1098|3.3|BULLETIN-INGV||||Md|1.8|--|Campi Flegrei|earthquake
29333571|2021-12-27T04:54:44.660000|40.8225|14.132333|1.2|SURVEY-INGV-OV#SiSmi||||Md|1.1|--|Campi Flegrei|earthquake
29335141|2021-12-27T09:40:18.940000|40.8298|14.1278|2.1|BULLETIN-INGV||||Md|1.4|--|Campi Flegrei|earthquake
29336261|2021-12-27T11:22:06.410000|40.823167|14.132333|1.2|SURVEY-INGV-OV#SiSmi||||Md|1.1|--|Campi Flegrei|earthquake
29336961|2021-12-27T13:29:43.530000|40.8363|14.1125|1.9|BULLETIN-INGV||||Md|1.6|--|Campi Flegrei|earthquake
29388181|2022-01-03T05:38:20.750000|40.828167|14.137|2.3|SURVEY-INGV-OV#SiSmi||||Md|1.2|--|Campi Flegrei|earthquake
29411641|2022-01-05T00:20:57.130000|40.8288|14.127|1.9|BULLETIN-INGV||||Md|1.3|--|Campi Flegrei|earthquake
29411731|2022-01-05T00:42:10.570000|40.8288|14.1273|2.0|BULLETIN-INGV||||Md|1.4|--|Campi Flegrei|earthquake
29440761|2022-01-06T19:37:15.110000|40.8423|14.1388|1.6|BULLETIN-INGV||||Md|2.1|--|Campi Flegrei|earthquake
29440901|2022-01-06T19:38:14.670000|40.825667|14.144667|1.6|SURVEY-INGV-OV#SiSmi||||Md|1.0|--|Campi Flegrei|earthquake
29550921|2022-01-13T16:58:49.930000|40.8427|14.1332|1.5|BULLETIN-INGV||||Md|1.2|--|Campi Flegrei|earthquake
29551011|2022-01-13T17:02:04.660000|40.8402|14.1335|1.5|BULLETIN-INGV||||Md|1.2|--|Campi Flegrei|earthquake
29560251|2022-01-14T20:54:52.200000|40.824167|14.131333|1.6|SURVEY-INGV-OV#SiSmi||||Md|1.0|--|Campi Flegrei|earthquake
29611111|2022-01-21T03:53:27.549000|40.827333|14.142833|0.8|SURVEY-INGV-OV#SiSmi||||Md|1.0|--|Campi Flegrei|earthquake
29613401|2022-01-21T14:30:14.820000|40.7958|14.1378|1.4|BULLETIN-INGV||||Md|1.5|--|Campi Flegrei|earthquake
29614201|2022-01-21T14:56:42.559000|40.8375|14.134667|1.1|SURVEY-INGV-OV#SiSmi||||Md|1.0|--|Campi Flegrei|earthquake
29665901|2022-01-26T03:04:54.410000|40.8293|14.1367|2.2|BULLETIN-INGV||||Md|1.4|--|Campi Flegrei|earthquake
29721941|2022-01-31T04:48:12.299000|40.832|14.128|2.7|SURVEY-INGV-OV#SiSmi||||Md|1.4|--|Campi Flegrei|earthquake
29735121|2022-02-01T02:18:39.400000|40.832667|14.144|1.5|SURVEY-INGV-OV#SiSmi||||Md|1.4|--|Campi Flegrei|earthquake
